Company,Website,Phone,Address,Email,Team Page,Person 1,Job 1,Person 2,Job 2,Person 3,Job 3
Demand Media,"=HYPERLINK(""http://demandmedia.com"")",(310) 394-6400,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1158 Broadway 2nd Floor New York'"")",info@demandmedia.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+demandmedia"")",Shawn Colo,"Co-Founder & EVP, Corporate Development",Mel Tang,Chief Financial Officer,Jeff Dossett,Chief Revenue Officer
ZocDoc,"=HYPERLINK(""http://www.zocdoc.com"")",1-866-ZOCDOC-1,"=HYPERLINK(""https://www.google.com/maps/preview/place/'568 Broadway 9th Floor New York'"")",join@zocdoc.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+zocdoc"")",Nick Ganju,CTO/Founder,Cyrus Massoumi,CEO/Founder,Netta Samroengraja,CFO
PubMatic,"=HYPERLINK(""http://www.pubmatic.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'220 West 42nd 11th Floor New York'"")",info@pubmatic.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+pubmatic"")",Mukul Kumar,Co-Founder and SVP Engineering,Amar Goel,Founder and Chairman,Andrew Zeiger,CRO
Wixi,"=HYPERLINK(""http://www.wixi.com"")",610-866-2314,"=HYPERLINK(""https://www.google.com/maps/preview/place/'41 East 11th Street, 11th Floor  New York'"")",arthur@wixi.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+wixi"")",Arthur Madrid,CEO and Founder,Sebastien Borget,Co-Founder, ,""
in2apps,"=HYPERLINK(""http://www.in2apps.com"")",888.225.2339,"=HYPERLINK(""https://www.google.com/maps/preview/place/'41 East 11th Street, 11th Floor  New York'"")",info@in2apps.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+in2apps"")",Joseph Robinson,Co-Founder,Manny Berrios,Co-Founder and CTO,Mehdi Alami,Co-Founder and CEO
Cartoon Doll Emporium,"=HYPERLINK(""http://cartoondollemporium.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'336 West 37th Street, Suite 304  New York'"")",cartoondollemporium@gmail.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+cartoondollemporium"")",Evan Bailyn,Founder & CEO, ,"", ,""
Clickable,"=HYPERLINK(""http://www.clickable.com"")",877-775-6699,"=HYPERLINK(""https://www.google.com/maps/preview/place/'7 West 22nd Street 7th Floor New York'"")",Editor@clickable.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+clickable"")",Dave Fall,Chief Operating Officer,Dave Fall,Senior Vice President - Product & Operations,Max Kalehoff,"Vice President, Marketing"
DonorsChoose.org,"=HYPERLINK(""http://www.donorschoose.org"")",212.239.3615,"=HYPERLINK(""https://www.google.com/maps/preview/place/'213 West 35th Street 2nd Floor East New York'"")",info@donorschoose.org,"=HYPERLINK(""https://www.google.com/search?q='management+team'+donorschoose-org"")",Charles Best,Founder & CEO,Cesar Bocanegra,COO,Andy Kaplan,CFO
Animoto,"=HYPERLINK(""http://animoto.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'440 Lafayette St.  New York'"")",theteam@animoto.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+animoto"")",Stevie Clifton,Co-Founder & CTO,Brad Jefferson,CEO & Co-founder,Russ Keefe,CFO
Empressr,"=HYPERLINK(""http://www.empressr.com"")",212.929.7644,"=HYPERLINK(""https://www.google.com/maps/preview/place/'36 West 20th st  New York'"")",bt@empressr.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+empressr"")",Bryan Thatcher,President,Stephen Michaels,Managing Director,James M. Langrock,Chief Financial Officer
Kaltura,"=HYPERLINK(""http://corp.kaltura.com"")",212.981.3965,"=HYPERLINK(""https://www.google.com/maps/preview/place/'41 East 11th Street, 11th Floor  New York'"")",lisa.bennett@kaltura.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+kaltura"")",Eran Etam,"Co-founder, CTO",Ron Yekutiel,"Co-founder, CEO",Shay David,"Co-Founder, Chief Revenue Officer"
Worklight,"=HYPERLINK(""http://worklight.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'12 West 31st Street  New York'"")",info@worklight.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+worklight"")",Ron Perry,Chief Technology Officer,Nathan Golan,VP Sales,Yaron Goldberg,VP Research and Development
Mimeo,"=HYPERLINK(""http://www.mimeo.com"")",212.847.3000,"=HYPERLINK(""https://www.google.com/maps/preview/place/'460 Park Avenue South  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+mimeo"")",David Uyttendaele,CTO & Co-Founder,Jeff Stewart,Board / Founder,John Delbridge,"President and CEO, Co-founder"
Salesforce Buddy Media,"=HYPERLINK(""http://buddymedia.com"")",646-380-7300,"=HYPERLINK(""https://www.google.com/maps/preview/place/'21 Penn Plaza 12th  Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+buddymedia"")",Kass Lazerow,Co-Founder and Chief Operating Officer,Jeff Ragovin,Co-founder & Chief Strategy Officer,Michael Lazerow,Co-Founder and CEO
Rubicon Project,"=HYPERLINK(""http://www.rubiconproject.com"")",(310) 207-0272,"=HYPERLINK(""https://www.google.com/maps/preview/place/'106 7th Ave.  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+rubiconproject"")",Frank Addante,Founder & CEO,Julie Ginches,CMO,Todd Tappin,COO/CFO
CondoDomain,"=HYPERLINK(""http://CondoDomain.com"")",8778526636,"=HYPERLINK(""https://www.google.com/maps/preview/place/'110 Greene Street Suite 1109 New York'"")",ajl@condodomain.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+condodomain"")",Bret Violette,Lead Strategic Advisor,Anthony Longo,Founder & CEO,Hoyt Morgan,President & COO
RayV,"=HYPERLINK(""http://rayv.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'150 West 77, Suite 4  New York'"")",info@rayv.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+rayv"")",Ori Birnbaum,"Co-founder, Head of Business Development",Shlomi Cohen,CEO and President,Morris Azulay,CFO
Tumblr,"=HYPERLINK(""http://tumblr.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'419 Park Ave. South, Suite 807  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+tumblr"")",David Karp,Founder,Bijan Sabet,Director,Ari Shahdadi,General Counsel & Assistant Secretary
Davidville,"=HYPERLINK(""http://www.davidville.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'419 Park Ave. South Suite 807 New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+davidville"")",David Karp,President, ,"", ,""
Payoneer,"=HYPERLINK(""http://www.payoneer.com"")",1-800-251-2521,"=HYPERLINK(""https://www.google.com/maps/preview/place/'410 Park Avenue - 15th Floor  New York'"")",c.support@payoneer.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+payoneer"")",Ben Yaniv Chechik,Co Founder & CTO,Scott Galit,CEO,Yuval Tal,Founder & President
Vimeo,"=HYPERLINK(""http://www.vimeo.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'555 W 18th St  New York'"")",help@vimeo.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+vimeo"")",Kerry Trainor,CEO,Mark Pinney,CFO,Andrew Pile,CTO
eXelate,"=HYPERLINK(""http://exelate.com"")",646.380.4400,"=HYPERLINK(""https://www.google.com/maps/preview/place/'7 West 22nd Street 9th Floor New York'"")",sales@exelate.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+exelate"")",Mark Zagorski,CEO,Meir Zohar,Founder & Board Member,Damian Garbaccio,CRO
Quigo,"=HYPERLINK(""http://quigo.com"")",(646) 289-6000,"=HYPERLINK(""https://www.google.com/maps/preview/place/'90 Park Avenue, 10th Floor  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+quigo"")",Henry Vogel,CRO,Dennis Phelps,Board Member,Oded Itzhak,"Co-founder, CTO, and board member"
Jango,"=HYPERLINK(""http://jango.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",info@jango.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+jango"")",Chris Dowhan,CTO,Daniel Kaufman,CEO, ,""
Peer39,"=HYPERLINK(""http://www.peer39.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'36 West 25th Street 2nd Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+peer39"")",Andy Ellenthal,Chief Executive Officer,James Oppenheim,Chief Marketing Officer,Ofri Weiss,VP Human Resources
Vitrue,"=HYPERLINK(""http://www.vitrue.com"")",1.888.9VITRUE,"=HYPERLINK(""https://www.google.com/maps/preview/place/'205 Lexington Ave. Suite 700 New York'"")",info@vitrue.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+vitrue"")",Steven J. Heyer,Board Vice Chairman,Michael Strutton,Chief Product Officer,Reggie Bradford,Chief Executive Officer
Vringo,"=HYPERLINK(""http://www.vringoinc.com"")",646-532-6777,"=HYPERLINK(""https://www.google.com/maps/preview/place/'780 Third Avenue Fifteenth Floor New York'"")",support@vringo.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+vringo"")",Josh Wolff,"VP, Services and Solutions",Jeff Belk,Advisory Board member,John Engelman,Director
Curbed Network,"=HYPERLINK(""http://www.curbednetwork.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'36 Cooper Square, 5th FL  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+curbed"")",Alexis Juneja,"Co-Founder; VP, Strategic Development",Lockhart Steele,President and Founder,Eliot Shepard,CTO
Rebel Monkey,"=HYPERLINK(""http://rebelmonkey.com"")",212-710-9378,"=HYPERLINK(""https://www.google.com/maps/preview/place/'135 West 20th Street 5th Floor New York'"")",contact@rebelmonkey.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+rebelmonkey"")",Nick Fortugno,CCO,Margaret Wallace,CEO, ,""
Transmedia Corporation,"=HYPERLINK(""http://transmediacorp.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'126 5th Avenue Suite 804  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+transmedia"")",Drew De Risi,Co-Founder & SVP of Strategy,Donald Leka,CEO/Chairman,John C. B. LeGates,Advisor
Crazy Blind Date,"=HYPERLINK(""http://www.crazyblinddate.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'Humor Rainbow, Inc. 589 8th Avenue, 11th Floor New York'"")",help@crazyblinddate.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+crazyblinddate"")",Sam Yagan,CEO, ,"", ,""
BrightRoll,"=HYPERLINK(""http://www.brightroll.com"")",415-677-9222,"=HYPERLINK(""https://www.google.com/maps/preview/place/'295 Madison Avenue 12th Floor New York'"")",pr@brightroll.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+brightroll"")",Tod M. Sacerdoti,CEO & Founder,Ron Will,CFO,Tim Avila,SVP Product Marketing
Turn,"=HYPERLINK(""http://www.turn.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'22 W. 19th Street 7th Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+turn"")",Jim Barnett,Chairman & Co-Founder,Jim Barnett,"Chairman, Co - Founder",Bill Demas,President/CEO/BOD
BlackArrow,"=HYPERLINK(""http://www.blackarrow.tv"")",408.642.6400,"=HYPERLINK(""https://www.google.com/maps/preview/place/'135 West 26th Street: 11th Floor  New York'"")",info@blackarrow.tv,"=HYPERLINK(""https://www.google.com/search?q='management+team'+blackarrow"")",Dean Denhart,CEO,Keith Kryszczun,"Senior Vice President, Sales",Chris Hock,"Senior Vice President, Product Management & Marketing"
Yieldex,"=HYPERLINK(""http://www.yieldex.com"")",650-265-7674,"=HYPERLINK(""https://www.google.com/maps/preview/place/'101 Fifth Avenue Suite 605 New York'"")",info@yieldex.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+yieldex"")",Andy Nibley,CEO,Tom Shields,Co-Founder and Chief Strategy Officer,Andrew Rutledge,Chief Revenue Officer
TheStreet,"=HYPERLINK(""http://www.thestreet.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'14 Wall Street  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+thestreet"")",Jim Cramer,Founder,Stephanie Link,"Chief Investment Officer, Co-Portfolio Manager of Jim Cramer's Charitable Trust, & Director of Research",William Inman,Editor In Chief
Traffix,"=HYPERLINK(""http://www.traffixinc.com"")",212-273-1141,"=HYPERLINK(""https://www.google.com/maps/preview/place/'469 7th Avenue  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+traffix"")",Matt Keiser,"",Malcolm Campbell,Lead Product Ninja, ,""
Taboola,"=HYPERLINK(""http://www.taboola.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'19 W 21 St  New York'"")",info@taboola.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+taboola"")",Ohad Finkelstein,"Managing Partner Marker, Chairman Of The Board",Adam Singolda,Founder & CEO,Eldad Maniv,President & COO
The Huffington Post,"=HYPERLINK(""http://www.huffingtonpost.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'770 Broadway 5th Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+huffingtonpost"")",Arianna Huffington,Founder,John Pavley,CTO,Adam Denenberg,VP Engineering
Collective,"=HYPERLINK(""http://www.collective.com"")",888-460-9513,"=HYPERLINK(""https://www.google.com/maps/preview/place/'99 Park Avenue 5th Floor New York'"")",contactus@collective.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+collectivemedia"")",Joe Apprendi,CEO,Eric Weinberg,COO,Ed Dandridge,CMO
LinkStorm,"=HYPERLINK(""http://www.linkstorms.com"")",212-792-1847,"=HYPERLINK(""https://www.google.com/maps/preview/place/'34 West 22nd Street  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+linkstorm"")",David Sidman,CEO and Founder,Michael B. Healy,Director of Client and Ad Operations,Bryan Feinberg,Director of Partnerships
WEbook,"=HYPERLINK(""http://www.webook.com"")",646.453.8575,"=HYPERLINK(""https://www.google.com/maps/preview/place/'307 Fifth Avenue Floor 7 New York'"")",info@webook.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+webook"")",Itai Kohavi,Founder and CEO,Ardy Khazaei,President,Alon Golan,VP Technology Development
Bug Labs,"=HYPERLINK(""http://buglabs.net"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'598 Broadway 4th Floor New York'"")",info@buglabs.net,"=HYPERLINK(""https://www.google.com/search?q='management+team'+buglabs"")",Peter Semmelhack,Founder/CEO,Bijan Sabet,Board Member,Daniel Keoppel,Board Observer
OANDA,"=HYPERLINK(""http://fxtrade.oanda.com"")",877-626-3239,"=HYPERLINK(""https://www.google.com/maps/preview/place/'140 Broadway 46th Floor New York'"")",frontdesk@oanda.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+oanda"")",K Duker,CEO,Graeme Whittington,Chief Technology Officer,Stacey Grant-Thompson,Chief Marketing Officer
Twelvefold Media,"=HYPERLINK(""http://www.twelvefold.com"")",415-913-2600,"=HYPERLINK(""https://www.google.com/maps/preview/place/'116 West 23rd Street  New York'"")",sales@twelevfold.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+twelvefoldmedia"")",Dave Hills,Chief Executive Officer,Jenny Brodowsky,"Vice President of Sales, East",Brian Mcallister,"Vice President, Revenue Optimization"
Answers Corporation,"=HYPERLINK(""http://www.answers.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'462 7th Avenue 9th Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+answers"")",Peter Horan,President and COO,Hythem T. El-Nazer,Board of Directors,Michael Eisenberg,Board Member
Answers Corporation,"=HYPERLINK(""http://www.answers.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'989 Avenue of the Americas 17th Floor, Answers New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+answers"")",Peter Horan,President and COO,Hythem T. El-Nazer,Board of Directors,Michael Eisenberg,Board Member
eToro,"=HYPERLINK(""http://www.etoro.com"")",+ 357 25 02504,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1375 Broadway 11th Floor New York'"")",support@etoro.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+etoro"")",Jonathan Assia,CEO,David Ring,CTO,Ronen Assia,Chief Product Officer
SeeToo,"=HYPERLINK(""http://www.seetoo.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",info@SeeToo.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+seetoo"")",Yoav Ilan,Marketing and Business Development,Alon Hochberg,Engineering and Product Development, ,""
Paltalk,"=HYPERLINK(""http://www.paltalk.com"")",(212) 520-7000,"=HYPERLINK(""https://www.google.com/maps/preview/place/'Church Street Station P.O. Box 3454 New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+paltalk"")",Wilson Kriegel,President - COO,Ross Popoff-Walker,Director of User Experience,Michael Levit,CMO
MyPublisher,"=HYPERLINK(""http://www.mypublisher.com"")",914-773-4312,"=HYPERLINK(""https://www.google.com/maps/preview/place/'845 Third Avenue 14th Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+mypublisher"")", ,"", ,"", ,""
Yodle,"=HYPERLINK(""http://www.yodle.com"")",877-276-5104,"=HYPERLINK(""https://www.google.com/maps/preview/place/'50 West 23rd Street Suite 401 New York'"")",info@yodle.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+yodle"")",John Berkowitz,"Co-founder, VP of National Sales",Milind Mehere,"Co-Founder, GM Canada & VP, Business Development",Court Cunningham,CEO
Motionbox,"=HYPERLINK(""http://www.motionbox.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'80 Broad St 28th Floor New York'"")",support@motionbox.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+motionbox"")",Josh Grotstein,CEO,Chris O'Brien,Chairman and Co-Founder,Andrew Wason,Chief Architect & Co-Founder
Desktoptwo,"=HYPERLINK(""http://desktoptwo.com"")",(212) 905-6095,"=HYPERLINK(""https://www.google.com/maps/preview/place/'41 East 11th Street, 11th Floor  New York'"")",,"=HYPERLINK(""https://www.google.com/search?q='management+team'+desktoptwo"")",Joshua D. Rand,CEO and President,Oscar MondragÃƒÂ³n,Director of Technological Development, ,""
Earth Class Mail,"=HYPERLINK(""http://www.earthclassmail.com"")",206-905-2400,"=HYPERLINK(""https://www.google.com/maps/preview/place/'228 Park Ave. S.  New York'"")",inquiries@earthclassmail.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+earthclassmail"")",Sarah Carr,President and CEO,Jim Wilson,Vice President of Product Engineering,Stacey Lee,Vice President of Finance
SocialPicks,"=HYPERLINK(""http://www.socialpicks.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",help@socialpicks.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+socialpicks"")",Jeffrey Tompkins,CEO,Meghan Majorowski,COO,Keven Lin,Co-Founder
CafeMom,"=HYPERLINK(""http://www.cafemom.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'401 Park Ave S Fl 5 New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+cafemom"")",Lucia Ballas-Traynor,Co-Founder and EVP of MamásLatinas,Michael Sanchez,Chief Executive Officer and Co-Founder & BOD,Kim Crain,"VP, Human Resources"
Makeover Solutions,"=HYPERLINK(""http://www.makeoversolutions.com"")",212-239-9010,"=HYPERLINK(""https://www.google.com/maps/preview/place/'35 West 31st Street Suite 4 New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+makeoversolutions"")", ,"", ,"", ,""
DGP Labs,"=HYPERLINK(""http://www.dgplabs.com"")",,"=HYPERLINK(""https://www.google.com/maps/preview/place/'54 West 21st Street Suite 1001 New York'"")",,"=HYPERLINK(""https://www.google.com/search?q='management+team'+dgplabs"")", ,"", ,"", ,""
Gilt Groupe,"=HYPERLINK(""http://www.gilt.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'2 Park Ave Fl 4  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+gilt-groupe"")",Michelle Peluso,CEO & Board Director,Michael Bryzek,Founder & CTO,Alexandra Wilkis Wilson,Founder & Chief Merchandising Officer
